"variant","disease","group","subgroup","N","MAE","MRE","RMSE","Bias","Cov_80","Cov_95"
"nb5_llt_drift","Glaucoma","Region","Northeast",900,29.068,2.3321,79.74,10.677,89.6,98.8
"nb5_llt_drift","Glaucoma","Region","Center-West",420,41.77,2.8935,93.573,13.11,90.5,98.6
"nb5_llt_drift","Glaucoma","Region","Southeast",420,31.368,1.2808,68.195,8.017,89.3,98.8
"nb5_llt_drift","Glaucoma","Region","South",315,45.007,0.9924,103.727,24.482,89.5,98.4
"nb5_llt_drift","Retinopathy","Age","25-34",405,14.667,1.2855,20.08,13.843,93.6,100
"nb5_llt_drift","Retinopathy","Age","35-44",405,21.003,1.084,28.848,20.472,98.3,100
"nb5_llt_drift","Retinopathy","Age","45-54",405,14.645,0.7945,21.229,6.589,99.8,100
"nb5_llt_drift","Retinopathy","Age","55-64",405,86.833,1.3392,118.644,-84,89.6,98.8
"nb5_llt_drift","Retinopathy","Age","65-74",405,173.002,1.7127,236.555,-169.261,82.7,99.8
"nb5_llt_drift","Retinopathy","Age","75-89",405,84.731,3.672,138.818,-34.289,98.3,99.3
"nb5_llt_drift","Retinopathy","Age","90+",390,659.768,13.3036,819.504,656.267,41.8,87.9
"nb5_llt_drift","Retinopathy","Region","North",720,61.207,8.6548,173.016,11.085,88.3,98.1
"nb5_llt_drift","Retinopathy","Region","Northeast",945,155.903,1.4825,317.997,63.295,84.1,97.1
"nb5_llt_drift","Retinopathy","Region","Center-West",420,196.055,2.4031,420.692,72.087,88.1,98.8
"nb5_llt_drift","Retinopathy","Region","Southeast",420,175.715,0.7674,345.639,73.741,86,98.8
"nb5_llt_drift","Retinopathy","Region","South",315,221.254,0.7267,425.939,85.745,88.3,98.4
"nb5_llt_drift","Eye & Appendage Diseases","Age","25-34",405,36.388,0.6218,54.48,17.621,90.9,99
"nb5_llt_drift","Eye & Appendage Diseases","Age","35-44",405,71.076,0.7968,105.246,64.776,90.9,99.3
"nb5_llt_drift","Eye & Appendage Diseases","Age","45-54",405,97.708,0.67,146.392,87.506,98,100
"nb5_llt_drift","Eye & Appendage Diseases","Age","55-64",405,103.113,0.8161,143.416,-49.217,97.5,100
"nb5_llt_drift","Eye & Appendage Diseases","Age","65-74",405,619.738,1.6939,948.579,-598.147,73.3,97.3
"nb5_llt_drift","Eye & Appendage Diseases","Age","75-89",405,925.954,3.1495,1601.997,-795.699,80.2,96.3
"nb5_llt_drift","Eye & Appendage Diseases","Age","90+",405,2071.794,15.2299,2534.661,2065.641,52.1,89.4
"nb5_llt_drift","Eye & Appendage Diseases","Region","North",735,326.029,10.8759,799.356,-4.463,81.8,96.5
"nb5_llt_drift","Eye & Appendage Diseases","Region","Northeast",945,522.753,0.6792,1032.096,131.333,82,96.9
"nb5_llt_drift","Eye & Appendage Diseases","Region","Center-West",420,912.605,0.6507,1874.79,156.455,83.1,97.9
"nb5_llt_drift","Eye & Appendage Diseases","Region","Southeast",420,720.448,0.5383,1287.332,102.832,84.5,99
"nb5_llt_drift","Eye & Appendage Diseases","Region","South",315,541.024,0.5431,1098.177,289.604,89.2,97.5
"nb5_llt_drift_expo","Glaucoma","Age","25-34",345,2.417,1.0816,3.693,1.597,91.6,98
"nb5_llt_drift_expo","Glaucoma","Age","35-44",390,3.21,0.9314,4.991,2.487,97.4,99.7
"nb5_llt_drift_expo","Glaucoma","Age","45-54",390,3.68,0.8637,5.534,1.418,98.5,100
"nb5_llt_drift_expo","Glaucoma","Age","55-64",375,9.01,1.0068,14.567,-6.454,95.2,99.2
"nb5_llt_drift_expo","Glaucoma","Age","65-74",405,28.293,1.6254,47.89,-24.918,83.7,99.3
"nb5_llt_drift_expo","Glaucoma","Age","75-89",375,33.239,2.8605,58.432,-21.813,94.7,99.5
"nb5_llt_drift_expo","Glaucoma","Age","90+",345,136.385,12.1428,192.763,134.464,76.8,95.7
"nb5_llt_drift_expo","Glaucoma","Region","North",570,12.703,5.6785,32.035,3.516,95.8,98.9
"nb5_llt_drift_expo","Glaucoma","Region","Northeast",900,28.956,2.3259,79.548,10.632,90.1,99.1
"nb5_llt_drift_expo","Glaucoma","Region","Center-West",420,41.602,2.8516,93.438,13.087,91.2,99
"nb5_llt_drift_expo","Glaucoma","Region","Southeast",420,31.215,1.2729,67.237,7.736,89.5,99
"nb5_llt_drift_expo","Glaucoma","Region","South",315,44.418,0.9798,102.182,23.663,88.9,97.1
"nb5_llt_drift_expo","Retinopathy","Age","25-34",405,14.642,1.2868,20.058,13.808,93.6,100
